Pixel X,Pixel Y,First Shadow Timestamp,Last Shadow Timestamp,Shadow Duration (minutes)
79,4,2025-09-11 08:42:22,2025-09-11 08:42:22,0 days 00:00:00
90,4,2025-09-11 08:43:22,2025-09-11 08:43:22,0 days 00:00:00
98,4,2025-09-11 08:44:22,2025-09-11 08:44:22,0 days 00:00:00
107,4,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
152,4,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
153,4,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
163,4,2025-09-11 08:51:22,2025-09-11 08:51:22,0 days 00:00:00
171,4,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
172,4,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
180,4,2025-09-11 08:53:22,2025-09-11 08:53:22,0 days 00:00:00
199,4,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
207,4,2025-09-11 08:57:22,2025-09-11 08:57:22,0 days 00:00:00
208,4,2025-09-11 08:57:22,2025-09-11 08:57:22,0 days 00:00:00
235,4,2025-09-11 09:01:22,2025-09-11 09:01:22,0 days 00:00:00
254,4,2025-09-11 09:04:22,2025-09-11 09:04:22,0 days 00:00:00
1152,4,2025-09-11 16:39:22,2025-09-11 16:39:22,0 days 00:00:00
1159,4,2025-09-11 16:41:22,2025-09-11 16:41:22,0 days 00:00:00
1160,4,2025-09-11 16:41:22,2025-09-11 16:41:22,0 days 00:00:00
1161,4,2025-09-11 16:41:22,2025-09-11 16:41:22,0 days 00:00:00
1168,4,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1179,4,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1180,4,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1187,4,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1198,4,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1205,4,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1207,4,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1208,4,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1213,4,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1214,4,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1215,4,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1222,4,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
7,5,2025-09-11 07:35:22,2025-09-11 08:35:22,0 days 01:00:00
8,5,2025-09-11 07:35:22,2025-09-11 08:35:22,0 days 01:00:00
16,5,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
17,5,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
25,5,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
26,5,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
36,5,2025-09-11 08:38:22,2025-09-11 08:38:22,0 days 00:00:00
62,5,2025-09-11 08:40:22,2025-09-11 08:40:22,0 days 00:00:00
71,5,2025-09-11 08:41:22,2025-09-11 08:41:22,0 days 00:00:00
80,5,2025-09-11 08:42:22,2025-09-11 08:42:22,0 days 00:00:00
81,5,2025-09-11 08:42:22,2025-09-11 08:42:22,0 days 00:00:00
171,5,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
180,5,2025-09-11 08:53:22,2025-09-11 08:53:22,0 days 00:00:00
181,5,2025-09-11 08:53:22,2025-09-11 08:53:22,0 days 00:00:00
189,5,2025-09-11 08:54:22,2025-09-11 08:54:22,0 days 00:00:00
236,5,2025-09-11 09:01:22,2025-09-11 09:01:22,0 days 00:00:00
253,5,2025-09-11 09:04:22,2025-09-11 09:04:22,0 days 00:00:00
1151,5,2025-09-11 16:39:22,2025-09-11 16:39:22,0 days 00:00:00
1152,5,2025-09-11 16:39:22,2025-09-11 16:40:22,0 days 00:01:00
1160,5,2025-09-11 16:41:22,2025-09-11 16:41:22,0 days 00:00:00
1170,5,2025-09-11 16:43:22,2025-09-11 16:43:22,0 days 00:00:00
1171,5,2025-09-11 16:43:22,2025-09-11 16:43:22,0 days 00:00:00
1178,5,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1179,5,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1186,5,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1189,5,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1196,5,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1197,5,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1198,5,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1204,5,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1205,5,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1213,5,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1225,5,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
1233,5,2025-09-11 16:52:22,2025-09-11 16:52:22,0 days 00:00:00
1241,5,2025-09-11 16:53:22,2025-09-11 16:53:22,0 days 00:00:00
1242,5,2025-09-11 16:53:22,2025-09-11 16:53:22,0 days 00:00:00
8,6,2025-09-11 07:35:22,2025-09-11 08:35:22,0 days 01:00:00
16,6,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
17,6,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
26,6,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
61,6,2025-09-11 08:40:22,2025-09-11 08:40:22,0 days 00:00:00
63,6,2025-09-11 08:40:22,2025-09-11 08:40:22,0 days 00:00:00
72,6,2025-09-11 08:41:22,2025-09-11 08:41:22,0 days 00:00:00
125,6,2025-09-11 08:46:22,2025-09-11 08:46:22,0 days 00:00:00
143,6,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
172,6,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
181,6,2025-09-11 08:53:22,2025-09-11 08:53:22,0 days 00:00:00
189,6,2025-09-11 08:54:22,2025-09-11 08:54:22,0 days 00:00:00
236,6,2025-09-11 09:01:22,2025-09-11 09:01:22,0 days 00:00:00
244,6,2025-09-11 09:02:22,2025-09-11 09:02:22,0 days 00:00:00
263,6,2025-09-11 09:06:22,2025-09-11 09:06:22,0 days 00:00:00
1150,6,2025-09-11 16:39:22,2025-09-11 16:39:22,0 days 00:00:00
1152,6,2025-09-11 16:39:22,2025-09-11 16:40:22,0 days 00:01:00
1162,6,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1163,6,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1168,6,2025-09-11 16:43:22,2025-09-11 16:43:22,0 days 00:00:00
1169,6,2025-09-11 16:43:22,2025-09-11 16:43:22,0 days 00:00:00
1171,6,2025-09-11 16:43:22,2025-09-11 16:43:22,0 days 00:00:00
1177,6,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1178,6,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1181,6,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1190,6,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1196,6,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1204,6,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1215,6,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
1217,6,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
1223,6,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
1224,6,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
1225,6,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
1233,6,2025-09-11 16:52:22,2025-09-11 16:52:22,0 days 00:00:00
1234,6,2025-09-11 16:52:22,2025-09-11 16:52:22,0 days 00:00:00
1241,6,2025-09-11 16:53:22,2025-09-11 16:53:22,0 days 00:00:00
16,7,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
17,7,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
43,7,2025-09-11 08:38:22,2025-09-11 08:38:22,0 days 00:00:00
44,7,2025-09-11 08:38:22,2025-09-11 08:38:22,0 days 00:00:00
62,7,2025-09-11 08:40:22,2025-09-11 08:40:22,0 days 00:00:00
97,7,2025-09-11 08:43:22,2025-09-11 08:43:22,0 days 00:00:00
98,7,2025-09-11 08:43:22,2025-09-11 08:43:22,0 days 00:00:00
116,7,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
117,7,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
126,7,2025-09-11 08:46:22,2025-09-11 08:46:22,0 days 00:00:00
134,7,2025-09-11 08:47:22,2025-09-11 08:47:22,0 days 00:00:00
143,7,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
144,7,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
152,7,2025-09-11 08:49:22,2025-09-11 08:49:22,0 days 00:00:00
153,7,2025-09-11 08:49:22,2025-09-11 08:49:22,0 days 00:00:00
161,7,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
181,7,2025-09-11 08:53:22,2025-09-11 08:53:22,0 days 00:00:00
189,7,2025-09-11 08:54:22,2025-09-11 08:54:22,0 days 00:00:00
190,7,2025-09-11 08:54:22,2025-09-11 08:54:22,0 days 00:00:00
197,7,2025-09-11 08:55:22,2025-09-11 08:55:22,0 days 00:00:00
199,7,2025-09-11 08:55:22,2025-09-11 08:55:22,0 days 00:00:00
207,7,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
226,7,2025-09-11 08:59:22,2025-09-11 08:59:22,0 days 00:00:00
244,7,2025-09-11 09:02:22,2025-09-11 09:02:22,0 days 00:00:00
245,7,2025-09-11 09:02:22,2025-09-11 09:02:22,0 days 00:00:00
1151,7,2025-09-11 16:39:22,2025-09-11 16:40:22,0 days 00:01:00
1153,7,2025-09-11 16:40:22,2025-09-11 16:40:22,0 days 00:00:00
1161,7,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1162,7,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1168,7,2025-09-11 16:43:22,2025-09-11 16:43:22,0 days 00:00:00
1170,7,2025-09-11 16:43:22,2025-09-11 16:43:22,0 days 00:00:00
1177,7,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1180,7,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1187,7,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1188,7,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1189,7,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1196,7,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1207,7,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1208,7,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1215,7,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
1216,7,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
1222,7,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
1223,7,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
1225,7,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
1232,7,2025-09-11 16:52:22,2025-09-11 16:52:22,0 days 00:00:00
1233,7,2025-09-11 16:52:22,2025-09-11 16:52:22,0 days 00:00:00
16,8,2025-09-11 07:35:22,2025-09-11 08:35:22,0 days 01:00:00
35,8,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
43,8,2025-09-11 08:38:22,2025-09-11 08:38:22,0 days 00:00:00
44,8,2025-09-11 08:38:22,2025-09-11 08:38:22,0 days 00:00:00
79,8,2025-09-11 08:41:22,2025-09-11 08:41:22,0 days 00:00:00
80,8,2025-09-11 08:41:22,2025-09-11 08:41:22,0 days 00:00:00
89,8,2025-09-11 08:42:22,2025-09-11 08:42:22,0 days 00:00:00
97,8,2025-09-11 08:43:22,2025-09-11 08:43:22,0 days 00:00:00
98,8,2025-09-11 08:43:22,2025-09-11 08:43:22,0 days 00:00:00
107,8,2025-09-11 08:44:22,2025-09-11 08:44:22,0 days 00:00:00
108,8,2025-09-11 08:44:22,2025-09-11 08:44:22,0 days 00:00:00
116,8,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
117,8,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
125,8,2025-09-11 08:46:22,2025-09-11 08:46:22,0 days 00:00:00
126,8,2025-09-11 08:46:22,2025-09-11 08:46:22,0 days 00:00:00
134,8,2025-09-11 08:47:22,2025-09-11 08:47:22,0 days 00:00:00
135,8,2025-09-11 08:47:22,2025-09-11 08:47:22,0 days 00:00:00
143,8,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
144,8,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
145,8,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
152,8,2025-09-11 08:49:22,2025-09-11 08:49:22,0 days 00:00:00
153,8,2025-09-11 08:49:22,2025-09-11 08:49:22,0 days 00:00:00
154,8,2025-09-11 08:49:22,2025-09-11 08:49:22,0 days 00:00:00
161,8,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
162,8,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
171,8,2025-09-11 08:51:22,2025-09-11 08:51:22,0 days 00:00:00
190,8,2025-09-11 08:54:22,2025-09-11 08:54:22,0 days 00:00:00
198,8,2025-09-11 08:55:22,2025-09-11 08:55:22,0 days 00:00:00
199,8,2025-09-11 08:55:22,2025-09-11 08:55:22,0 days 00:00:00
207,8,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
208,8,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
226,8,2025-09-11 08:59:22,2025-09-11 08:59:22,0 days 00:00:00
245,8,2025-09-11 09:02:22,2025-09-11 09:02:22,0 days 00:00:00
253,8,2025-09-11 09:03:22,2025-09-11 09:03:22,0 days 00:00:00
254,8,2025-09-11 09:03:22,2025-09-11 09:03:22,0 days 00:00:00
262,8,2025-09-11 09:05:22,2025-09-11 09:06:22,0 days 00:01:00
263,8,2025-09-11 09:05:22,2025-09-11 09:06:22,0 days 00:01:00
1143,8,2025-09-11 16:38:22,2025-09-11 16:38:22,0 days 00:00:00
1151,8,2025-09-11 16:39:22,2025-09-11 16:40:22,0 days 00:01:00
1152,8,2025-09-11 16:39:22,2025-09-11 16:40:22,0 days 00:01:00
1160,8,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1162,8,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1168,8,2025-09-11 16:43:22,2025-09-11 16:43:22,0 days 00:00:00
1178,8,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1179,8,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1180,8,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1181,8,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1186,8,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1187,8,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1188,8,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1205,8,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1206,8,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1207,8,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1213,8,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
1214,8,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
1215,8,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
1222,8,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
1223,8,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
1224,8,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
16,9,2025-09-11 07:35:22,2025-09-11 08:35:22,0 days 01:00:00
17,9,2025-09-11 07:35:22,2025-09-11 08:35:22,0 days 01:00:00
25,9,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
35,9,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
36,9,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
44,9,2025-09-11 08:38:22,2025-09-11 08:38:22,0 days 00:00:00
70,9,2025-09-11 08:40:22,2025-09-11 08:40:22,0 days 00:00:00
