Pixel X,Pixel Y,Shadow Start Timestamp,Shadow End Timestamp,Shadow Duration (minutes),Average Power Blocked (W/m²)
784,527,17-07-2025 19:26,17-07-2025 19:41,15,34.96781343
785,527,17-07-2025 19:25,17-07-2025 19:41,16,37.21878875
786,527,17-07-2025 19:24,17-07-2025 19:41,17,39.47924161
783,528,17-07-2025 19:30,17-07-2025 19:41,11,26.07167127
784,528,17-07-2025 19:29,17-07-2025 19:41,12,28.27813643
785,528,17-07-2025 19:28,17-07-2025 19:41,13,30.49680538
786,528,17-07-2025 19:27,17-07-2025 19:41,14,32.72693233
783,529,17-07-2025 19:33,17-07-2025 19:41,8,19.53349359
784,529,17-07-2025 19:32,17-07-2025 19:41,9,21.69852353
785,529,17-07-2025 19:30,17-07-2025 19:41,11,26.07167127
786,529,17-07-2025 19:29,17-07-2025 19:41,12,28.27813643
783,530,17-07-2025 19:35,17-07-2025 19:41,6,15.25066904
784,530,17-07-2025 19:34,17-07-2025 19:41,7,17.38394057
785,530,17-07-2025 19:33,17-07-2025 19:41,8,19.53349359
786,530,17-07-2025 19:32,17-07-2025 19:41,9,21.69852353
783,531,17-07-2025 19:38,17-07-2025 19:41,3,8.954999729
784,531,17-07-2025 19:37,17-07-2025 19:41,4,11.03573637
785,531,17-07-2025 19:35,17-07-2025 19:41,6,15.25066904
783,532,17-07-2025 19:40,17-07-2025 19:41,1,4.846604864
784,532,17-07-2025 19:39,17-07-2025 19:41,2,6.892158411
785,532,17-07-2025 19:38,17-07-2025 19:41,3,8.954999729
785,533,17-07-2025 19:40,17-07-2025 19:41,1,4.846604864
