Pixel X,Pixel Y,First Shadow Timestamp,Last Shadow Timestamp,Shadow Duration (minutes)
783,466,17/07/2025 16:24,17/07/2025 16:24,0 days 00:00:00
783,467,17/07/2025 16:24,17/07/2025 16:28,0 days 00:04:00
784,467,17/07/2025 16:25,17/07/2025 16:28,0 days 00:03:00
785,467,17/07/2025 16:25,17/07/2025 16:28,0 days 00:03:00
786,467,17/07/2025 16:26,17/07/2025 16:26,0 days 00:00:00
783,468,17/07/2025 16:24,17/07/2025 16:33,0 days 00:09:00
784,468,17/07/2025 16:25,17/07/2025 16:33,0 days 00:08:00
785,468,17/07/2025 16:25,17/07/2025 16:33,0 days 00:08:00
786,468,17/07/2025 16:26,17/07/2025 16:31,0 days 00:05:00
783,469,17/07/2025 16:24,17/07/2025 16:37,0 days 00:13:00
784,469,17/07/2025 16:25,17/07/2025 16:37,0 days 00:12:00
785,469,17/07/2025 16:25,17/07/2025 16:35,0 days 00:10:00
786,469,17/07/2025 16:26,17/07/2025 16:35,0 days 00:09:00
783,470,17/07/2025 16:24,17/07/2025 16:41,0 days 00:17:00
784,470,17/07/2025 16:25,17/07/2025 16:41,0 days 00:16:00
785,470,17/07/2025 16:25,17/07/2025 16:39,0 days 00:14:00
786,470,17/07/2025 16:26,17/07/2025 16:39,0 days 00:13:00
783,471,17/07/2025 16:24,17/07/2025 16:44,0 days 00:20:00
784,471,17/07/2025 16:25,17/07/2025 16:43,0 days 00:18:00
785,471,17/07/2025 16:25,17/07/2025 16:43,0 days 00:18:00
786,471,17/07/2025 16:26,17/07/2025 16:43,0 days 00:17:00
783,472,17/07/2025 16:24,17/07/2025 16:50,0 days 00:26:00
784,472,17/07/2025 16:25,17/07/2025 16:48,0 days 00:23:00
785,472,17/07/2025 16:25,17/07/2025 16:48,0 days 00:23:00
786,472,17/07/2025 16:26,17/07/2025 16:46,0 days 00:20:00
783,473,17/07/2025 16:25,17/07/2025 16:53,0 days 00:28:00
784,473,17/07/2025 16:25,17/07/2025 16:51,0 days 00:26:00
785,473,17/07/2025 16:25,17/07/2025 16:51,0 days 00:26:00
786,473,17/07/2025 16:26,17/07/2025 16:51,0 days 00:25:00
783,474,17/07/2025 16:27,17/07/2025 16:58,0 days 00:31:00
784,474,17/07/2025 16:27,17/07/2025 16:56,0 days 00:29:00
785,474,17/07/2025 16:27,17/07/2025 16:55,0 days 00:28:00
786,474,17/07/2025 16:27,17/07/2025 16:55,0 days 00:28:00
783,475,17/07/2025 16:29,17/07/2025 17:01,0 days 00:32:00
784,475,17/07/2025 16:29,17/07/2025 17:01,0 days 00:32:00
785,475,17/07/2025 16:29,17/07/2025 16:59,0 days 00:30:00
786,475,17/07/2025 16:29,17/07/2025 16:58,0 days 00:29:00
783,476,17/07/2025 16:34,17/07/2025 17:05,0 days 00:31:00
784,476,17/07/2025 16:34,17/07/2025 17:04,0 days 00:30:00
785,476,17/07/2025 16:34,17/07/2025 17:04,0 days 00:30:00
786,476,17/07/2025 16:32,17/07/2025 17:04,0 days 00:32:00
783,477,17/07/2025 16:38,17/07/2025 17:09,0 days 00:31:00
784,477,17/07/2025 16:38,17/07/2025 17:08,0 days 00:30:00
785,477,17/07/2025 16:36,17/07/2025 17:08,0 days 00:32:00
786,477,17/07/2025 16:36,17/07/2025 17:08,0 days 00:32:00
783,478,17/07/2025 16:42,17/07/2025 17:13,0 days 00:31:00
784,478,17/07/2025 16:42,17/07/2025 17:13,0 days 00:31:00
785,478,17/07/2025 16:40,17/07/2025 17:10,0 days 00:30:00
786,478,17/07/2025 16:40,17/07/2025 17:10,0 days 00:30:00
783,479,17/07/2025 16:45,17/07/2025 17:16,0 days 00:31:00
784,479,17/07/2025 16:45,17/07/2025 17:15,0 days 00:30:00
785,479,17/07/2025 16:44,17/07/2025 17:14,0 days 00:30:00
786,479,17/07/2025 16:44,17/07/2025 17:14,0 days 00:30:00
783,480,17/07/2025 16:49,17/07/2025 17:21,0 days 00:32:00
784,480,17/07/2025 16:49,17/07/2025 17:20,0 days 00:31:00
785,480,17/07/2025 16:47,17/07/2025 17:20,0 days 00:33:00
786,480,17/07/2025 16:47,17/07/2025 17:19,0 days 00:32:00
783,481,17/07/2025 16:52,17/07/2025 17:24,0 days 00:32:00
784,481,17/07/2025 16:52,17/07/2025 17:23,0 days 00:31:00
785,481,17/07/2025 16:52,17/07/2025 17:23,0 days 00:31:00
786,481,17/07/2025 16:52,17/07/2025 17:22,0 days 00:30:00
783,482,17/07/2025 16:57,17/07/2025 17:28,0 days 00:31:00
784,482,17/07/2025 16:57,17/07/2025 17:27,0 days 00:30:00
785,482,17/07/2025 16:56,17/07/2025 17:26,0 days 00:30:00
786,482,17/07/2025 16:56,17/07/2025 17:25,0 days 00:29:00
783,483,17/07/2025 17:00,17/07/2025 17:32,0 days 00:32:00
784,483,17/07/2025 17:00,17/07/2025 17:31,0 days 00:31:00
785,483,17/07/2025 17:00,17/07/2025 17:30,0 days 00:30:00
786,483,17/07/2025 16:59,17/07/2025 17:30,0 days 00:31:00
783,484,17/07/2025 17:06,17/07/2025 17:35,0 days 00:29:00
784,484,17/07/2025 17:05,17/07/2025 17:34,0 days 00:29:00
785,484,17/07/2025 17:03,17/07/2025 17:34,0 days 00:31:00
786,484,17/07/2025 17:03,17/07/2025 17:34,0 days 00:31:00
783,485,17/07/2025 17:10,17/07/2025 17:39,0 days 00:29:00
784,485,17/07/2025 17:07,17/07/2025 17:39,0 days 00:32:00
785,485,17/07/2025 17:07,17/07/2025 17:38,0 days 00:31:00
786,485,17/07/2025 17:07,17/07/2025 17:37,0 days 00:30:00
783,486,17/07/2025 17:12,17/07/2025 17:43,0 days 00:31:00
784,486,17/07/2025 17:11,17/07/2025 17:43,0 days 00:32:00
785,486,17/07/2025 17:11,17/07/2025 17:43,0 days 00:32:00
786,486,17/07/2025 17:10,17/07/2025 17:40,0 days 00:30:00
783,487,17/07/2025 17:16,17/07/2025 17:48,0 days 00:32:00
784,487,17/07/2025 17:16,17/07/2025 17:45,0 days 00:29:00
785,487,17/07/2025 17:15,17/07/2025 17:45,0 days 00:30:00
786,487,17/07/2025 17:15,17/07/2025 17:45,0 days 00:30:00
783,488,17/07/2025 17:21,17/07/2025 17:52,0 days 00:31:00
784,488,17/07/2025 17:21,17/07/2025 17:50,0 days 00:29:00
785,488,17/07/2025 17:18,17/07/2025 17:50,0 days 00:32:00
783,489,17/07/2025 17:24,17/07/2025 17:55,0 days 00:31:00
784,489,17/07/2025 17:23,17/07/2025 17:53,0 days 00:30:00
785,489,17/07/2025 17:23,17/07/2025 17:53,0 days 00:30:00
783,490,17/07/2025 17:28,17/07/2025 17:58,0 days 00:30:00
784,490,17/07/2025 17:27,17/07/2025 17:58,0 days 00:31:00
785,490,17/07/2025 17:26,17/07/2025 17:56,0 days 00:30:00
783,491,17/07/2025 17:32,17/07/2025 18:01,0 days 00:29:00
784,491,17/07/2025 17:31,17/07/2025 18:01,0 days 00:30:00
785,491,17/07/2025 17:31,17/07/2025 18:00,0 days 00:29:00
786,491,17/07/2025 17:30,17/07/2025 17:59,0 days 00:29:00
783,492,17/07/2025 17:35,17/07/2025 18:05,0 days 00:30:00
784,492,17/07/2025 17:35,17/07/2025 18:04,0 days 00:29:00
785,492,17/07/2025 17:35,17/07/2025 18:03,0 days 00:28:00
786,492,17/07/2025 17:34,17/07/2025 18:02,0 days 00:28:00
783,493,17/07/2025 17:40,17/07/2025 18:10,0 days 00:30:00
784,493,17/07/2025 17:39,17/07/2025 18:08,0 days 00:29:00
785,493,17/07/2025 17:37,17/07/2025 18:07,0 days 00:30:00
786,493,17/07/2025 17:36,17/07/2025 18:06,0 days 00:30:00
783,494,17/07/2025 17:44,17/07/2025 18:12,0 days 00:28:00
784,494,17/07/2025 17:42,17/07/2025 18:12,0 days 00:30:00
785,494,17/07/2025 17:40,17/07/2025 18:10,0 days 00:30:00
786,494,17/07/2025 17:40,17/07/2025 18:10,0 days 00:30:00
783,495,17/07/2025 17:46,17/07/2025 18:16,0 days 00:30:00
784,495,17/07/2025 17:46,17/07/2025 18:15,0 days 00:29:00
785,495,17/07/2025 17:44,17/07/2025 18:14,0 days 00:30:00
786,495,17/07/2025 17:44,17/07/2025 18:13,0 days 00:29:00
783,496,17/07/2025 17:51,17/07/2025 18:20,0 days 00:29:00
784,496,17/07/2025 17:49,17/07/2025 18:19,0 days 00:30:00
785,496,17/07/2025 17:49,17/07/2025 18:17,0 days 00:28:00
786,496,17/07/2025 17:46,17/07/2025 18:17,0 days 00:31:00
783,497,17/07/2025 17:54,17/07/2025 18:23,0 days 00:29:00
784,497,17/07/2025 17:53,17/07/2025 18:22,0 days 00:29:00
785,497,17/07/2025 17:53,17/07/2025 18:21,0 days 00:28:00
786,497,17/07/2025 17:51,17/07/2025 18:20,0 days 00:29:00
783,498,17/07/2025 17:57,17/07/2025 18:26,0 days 00:29:00
784,498,17/07/2025 17:56,17/07/2025 18:26,0 days 00:30:00
785,498,17/07/2025 17:56,17/07/2025 18:24,0 days 00:28:00
786,498,17/07/2025 17:54,17/07/2025 18:23,0 days 00:29:00
783,499,17/07/2025 18:01,17/07/2025 18:30,0 days 00:29:00
784,499,17/07/2025 18:00,17/07/2025 18:29,0 days 00:29:00
785,499,17/07/2025 17:59,17/07/2025 18:28,0 days 00:29:00
786,499,17/07/2025 17:59,17/07/2025 18:27,0 days 00:28:00
783,500,17/07/2025 18:04,17/07/2025 18:33,0 days 00:29:00
784,500,17/07/2025 18:03,17/07/2025 18:32,0 days 00:29:00
785,500,17/07/2025 18:02,17/07/2025 18:31,0 days 00:29:00
786,500,17/07/2025 18:01,17/07/2025 18:30,0 days 00:29:00
783,501,17/07/2025 18:08,17/07/2025 18:36,0 days 00:28:00
