Panel Number,Current,Voltage,Power,Shaded
1,0.0495,29.4,1.46,False
2,0.0495,29.4,1.46,False
3,0.0495,29.4,1.46,False
4,0.0495,29.4,1.46,False
5,0.0495,29.4,1.46,False
6,0.0495,29.4,1.46,False
7,0.0495,29.4,1.46,False
8,0.0495,29.4,1.46,False
9,0.0495,29.4,1.46,False
10,0.0495,29.4,1.46,False
11,0.0495,29.4,1.46,False
12,0.0495,29.4,1.46,False
13,0.0495,29.4,1.46,False
14,0.0495,29.4,1.46,False
15,0.0495,29.4,1.46,False
16,0.0495,29.4,1.46,False
17,0.0495,29.4,1.46,False
18,0.0495,29.4,1.46,False
19,0.0495,29.4,1.46,False
20,0.0495,29.4,1.46,False
21,0.0495,29.4,1.46,False
22,0.0495,29.4,1.46,False
23,0.0495,29.4,1.46,False
24,0.0495,29.4,1.46,False
25,0.0495,29.4,1.46,False
26,0.0495,29.4,1.46,False
27,0.0495,29.4,1.46,False
28,0.0495,29.4,1.46,False
29,0.0495,29.4,1.46,False
30,0.0495,29.4,1.46,False
31,0.0495,29.4,1.46,False
32,0.0495,29.4,1.46,False
33,0.0495,29.4,1.46,False
34,0.0495,29.4,1.46,False
35,0.0495,29.4,1.46,False
36,0.0495,29.4,1.46,False
37,0.0495,29.4,1.46,False
38,0.0495,29.4,1.46,False
39,0.0495,29.4,1.46,False
40,0.0495,29.4,1.46,False
41,0.0495,29.4,1.46,False
42,0.0495,29.4,1.46,False
43,0.0495,29.4,1.46,False
44,0.0495,29.4,1.46,False
45,0.0495,29.4,1.46,False
46,0.0495,29.4,1.46,False
47,0.0495,29.4,1.46,False
48,0.0495,29.4,1.46,False
49,0.0495,29.4,1.46,False
50,0.0495,29.4,1.46,False
51,0.0495,29.4,1.46,False
52,0.0495,29.4,1.46,False
53,0.0495,29.4,1.46,False
54,0.0495,29.4,1.46,False
55,0.0495,29.4,1.46,False
56,0.0495,29.4,1.46,False
