Panel Number,Current,Voltage,Power,Shaded
1,3.36,39.1,131.0,False
2,3.36,39.1,131.0,False
3,3.36,39.1,131.0,False
4,3.36,39.1,131.0,False
5,3.36,39.1,131.0,False
6,3.36,39.1,131.0,False
7,3.36,39.1,131.0,False
8,3.36,39.1,131.0,False
9,3.36,39.1,131.0,False
10,3.36,39.1,131.0,False
11,3.36,39.1,131.0,False
12,3.36,39.1,131.0,False
13,3.36,39.1,131.0,False
14,3.36,39.1,131.0,False
15,3.36,39.1,131.0,False
16,3.36,39.1,131.0,False
17,3.36,39.1,131.0,False
18,3.36,39.1,131.0,False
19,3.36,39.1,131.0,False
20,3.36,39.1,131.0,False
21,3.36,39.1,131.0,False
22,3.36,39.1,131.0,False
23,3.36,39.1,131.0,False
24,3.36,39.1,131.0,False
25,3.36,39.1,131.0,False
26,3.36,39.1,131.0,False
27,3.36,39.1,131.0,False
28,3.36,39.1,131.0,False
29,3.36,39.1,131.0,False
30,3.36,39.1,131.0,False
31,3.36,39.1,131.0,False
32,3.36,39.1,131.0,False
33,3.36,39.1,131.0,False
34,3.36,39.1,131.0,False
35,3.36,39.1,131.0,False
36,3.36,39.1,131.0,False
37,3.36,39.1,131.0,False
38,3.36,39.1,131.0,False
39,3.36,39.1,131.0,False
40,3.36,39.1,131.0,False
41,3.36,39.1,131.0,False
42,3.36,39.1,131.0,False
43,3.36,39.1,131.0,False
44,3.36,39.1,131.0,False
45,3.36,39.1,131.0,False
46,3.36,39.1,131.0,False
47,3.36,39.1,131.0,False
48,3.36,39.1,131.0,False
49,3.36,39.1,131.0,False
50,3.36,39.1,131.0,False
51,3.36,39.1,131.0,False
52,3.36,39.1,131.0,False
53,3.36,39.1,131.0,False
54,3.36,39.1,131.0,False
55,3.36,39.1,131.0,False
56,3.36,39.1,131.0,False
