Panel Number,Current,Voltage,Power,Shaded
1,2.36,35.4,83.4,False
2,2.36,35.4,83.4,False
3,2.36,35.4,83.4,False
4,2.36,35.4,83.4,False
5,2.36,35.4,83.4,False
6,2.36,35.4,83.4,False
7,2.36,35.4,83.4,False
8,2.36,35.4,83.4,False
9,2.36,35.4,83.4,False
10,2.36,35.4,83.4,False
11,2.36,35.4,83.4,False
12,2.36,35.4,83.4,False
13,2.36,35.4,83.4,False
14,2.36,35.4,83.4,False
15,2.36,35.4,83.4,False
16,2.36,35.4,83.4,False
17,2.36,35.4,83.4,False
18,2.36,35.4,83.4,False
19,2.36,35.4,83.4,False
20,2.36,35.4,83.4,False
21,2.36,35.4,83.4,False
22,2.36,35.4,83.4,False
23,2.36,35.4,83.4,False
24,2.36,35.4,83.4,False
25,2.36,35.4,83.4,False
26,2.36,35.4,83.4,False
27,2.36,35.4,83.4,False
28,2.36,35.4,83.4,False
29,2.36,35.4,83.4,False
30,2.36,35.4,83.4,False
31,2.36,35.4,83.4,False
32,2.36,35.4,83.4,False
33,2.36,35.4,83.4,False
34,2.36,35.4,83.4,False
35,2.36,35.4,83.4,False
36,2.36,35.4,83.4,False
37,2.36,35.4,83.4,False
38,2.36,35.4,83.4,False
39,2.36,35.4,83.4,False
40,2.36,35.4,83.4,False
41,2.36,35.4,83.4,False
42,2.36,35.4,83.4,False
43,2.36,35.4,83.4,False
44,2.36,35.4,83.4,False
45,2.36,35.4,83.4,False
46,2.36,35.4,83.4,False
47,2.36,35.4,83.4,False
48,2.36,35.4,83.4,False
49,2.36,35.4,83.4,False
50,2.36,35.4,83.4,False
51,2.36,35.4,83.4,False
52,2.36,35.4,83.4,False
53,2.36,35.4,83.4,False
54,2.36,35.4,83.4,False
55,2.36,35.4,83.4,False
56,2.36,35.4,83.4,False
