Panel Number,Current,Voltage,Power,Shaded
1,0.281,32.8,9.24,False
2,0.281,32.8,9.24,False
3,0.281,32.8,9.24,False
4,0.281,32.8,9.24,False
5,0.281,32.8,9.24,False
6,0.281,32.8,9.24,False
7,0.281,32.8,9.24,False
8,0.281,32.8,9.24,False
9,0.281,32.8,9.24,False
10,0.281,32.8,9.24,False
11,0.281,32.8,9.24,False
12,0.281,32.8,9.24,False
13,0.281,32.8,9.24,False
14,0.281,32.8,9.24,False
15,0.281,32.8,9.24,False
16,0.281,32.8,9.24,False
17,0.281,32.8,9.24,False
18,0.281,32.8,9.24,False
19,0.281,32.8,9.24,False
20,0.281,32.8,9.24,False
21,0.281,32.8,9.24,False
22,0.281,32.8,9.24,False
23,0.281,32.8,9.24,False
24,0.281,32.8,9.24,False
25,0.281,32.8,9.24,False
26,0.281,32.8,9.24,False
27,0.281,32.8,9.24,False
28,0.281,32.8,9.24,False
29,0.281,32.8,9.24,False
30,0.281,32.8,9.24,False
31,0.281,32.8,9.24,False
32,0.281,32.8,9.24,False
33,0.281,32.8,9.24,False
34,0.281,32.8,9.24,False
35,0.281,32.8,9.24,False
36,0.281,32.8,9.24,False
37,0.281,32.8,9.24,False
38,0.281,32.8,9.24,False
39,0.281,32.8,9.24,False
40,0.281,32.8,9.24,False
41,0.281,32.8,9.24,False
42,0.281,32.8,9.24,False
43,0.281,32.8,9.24,False
44,0.281,32.8,9.24,False
45,0.281,32.8,9.24,False
46,0.281,32.8,9.24,False
47,0.281,32.8,9.24,False
48,0.281,32.8,9.24,False
49,0.281,32.8,9.24,False
50,0.281,32.8,9.24,False
51,0.281,32.8,9.24,False
52,0.281,32.8,9.24,False
53,0.281,32.8,9.24,False
54,0.281,32.8,9.24,False
55,0.281,32.8,9.24,False
56,0.281,32.8,9.24,False
