Panel Number,Current,Voltage,Power,Shaded
1,1.88,39.3,73.9,False
2,1.88,39.3,73.9,False
3,1.88,39.3,73.9,False
4,1.88,39.3,73.9,False
5,1.88,39.3,73.9,False
6,1.88,39.3,73.9,False
7,1.88,39.3,73.9,False
8,1.88,39.3,73.9,False
9,1.88,39.3,73.9,False
10,1.88,39.3,73.9,False
11,1.88,39.3,73.9,False
12,1.88,39.3,73.9,False
13,1.88,39.3,73.9,False
14,1.88,39.3,73.9,False
15,1.88,39.3,73.9,False
16,1.88,39.3,73.9,False
17,1.88,39.3,73.9,False
18,1.88,39.3,73.9,False
19,1.88,39.3,73.9,False
20,1.88,39.3,73.9,False
21,1.88,39.3,73.9,False
22,1.88,39.3,73.9,False
23,1.88,39.3,73.9,False
24,1.88,39.3,73.9,False
25,1.88,39.3,73.9,False
26,1.88,39.3,73.9,False
27,1.88,39.3,73.9,False
28,1.88,39.3,73.9,False
29,1.88,39.3,73.9,False
30,1.88,39.3,73.9,False
31,1.88,39.3,73.9,False
32,1.88,39.3,73.9,False
33,1.88,39.3,73.9,False
34,1.88,39.3,73.9,False
35,1.88,39.3,73.9,False
36,1.88,39.3,73.9,False
37,1.88,39.3,73.9,False
38,1.88,39.3,73.9,False
39,1.88,39.3,73.9,False
40,1.88,39.3,73.9,False
41,1.88,39.3,73.9,False
42,1.88,39.3,73.9,False
43,1.88,39.3,73.9,False
44,1.88,39.3,73.9,False
45,1.88,39.3,73.9,False
46,1.88,39.3,73.9,False
47,1.88,39.3,73.9,False
48,1.88,39.3,73.9,False
49,1.88,39.3,73.9,False
50,1.88,39.3,73.9,False
51,1.88,39.3,73.9,False
52,1.88,39.3,73.9,False
53,1.88,39.3,73.9,False
54,1.88,39.3,73.9,False
55,1.88,39.3,73.9,False
56,1.88,39.3,73.9,False
