Panel Number,Current,Voltage,Power,Shaded
1,3.14,35.4,111.0,False
2,3.14,35.4,111.0,False
3,3.14,35.4,111.0,False
4,3.14,35.4,111.0,False
5,3.14,35.4,111.0,False
6,3.14,35.4,111.0,False
7,3.14,35.4,111.0,False
8,3.14,35.4,111.0,False
9,3.14,35.4,111.0,False
10,3.14,35.4,111.0,False
11,3.14,35.4,111.0,False
12,3.14,35.4,111.0,False
13,3.14,35.4,111.0,False
14,3.14,35.4,111.0,False
15,3.14,35.4,111.0,False
16,3.14,35.4,111.0,False
17,3.14,35.4,111.0,False
18,3.14,35.4,111.0,False
19,3.14,35.4,111.0,False
20,3.14,35.4,111.0,False
21,3.14,35.4,111.0,False
22,3.14,35.4,111.0,False
23,3.14,35.4,111.0,False
24,3.14,35.4,111.0,False
25,3.14,35.4,111.0,False
26,3.14,35.4,111.0,False
27,3.14,35.4,111.0,False
28,3.14,35.4,111.0,False
29,3.14,35.4,111.0,False
30,3.14,35.4,111.0,False
31,3.14,35.4,111.0,False
32,3.14,35.4,111.0,False
33,3.14,35.4,111.0,False
34,3.14,35.4,111.0,False
35,3.14,35.4,111.0,False
36,3.14,35.4,111.0,False
37,3.14,35.4,111.0,False
38,3.14,35.4,111.0,False
39,3.14,35.4,111.0,False
40,3.14,35.4,111.0,False
41,3.14,35.4,111.0,False
42,3.14,35.4,111.0,False
43,3.14,35.4,111.0,False
44,3.14,35.4,111.0,False
45,3.14,35.4,111.0,False
46,3.14,35.4,111.0,False
47,3.14,35.4,111.0,False
48,3.14,35.4,111.0,False
49,3.14,35.4,111.0,False
50,3.14,35.4,111.0,False
51,3.14,35.4,111.0,False
52,3.14,35.4,111.0,False
53,3.14,35.4,111.0,False
54,3.14,35.4,111.0,False
55,3.14,35.4,111.0,False
56,3.14,35.4,111.0,False
