Panel Number,Current,Voltage,Power,Shaded
1,0.863,34.6,29.8,False
2,0.863,34.6,29.8,False
3,0.863,34.6,29.8,False
4,0.863,34.6,29.8,False
5,0.863,34.6,29.8,False
6,0.863,34.6,29.8,False
7,0.863,34.6,29.8,False
8,0.863,34.6,29.8,False
9,0.863,34.6,29.8,False
10,0.863,34.6,29.8,False
11,0.863,34.6,29.8,False
12,0.863,34.6,29.8,False
13,0.863,34.6,29.8,False
14,0.863,34.6,29.8,False
15,0.863,34.6,29.8,False
16,0.863,34.6,29.8,False
17,0.863,34.6,29.8,False
18,0.863,34.6,29.8,False
19,0.863,34.6,29.8,False
20,0.863,34.6,29.8,False
21,0.863,34.6,29.8,False
22,0.863,34.6,29.8,False
23,0.863,34.6,29.8,False
24,0.863,34.6,29.8,False
25,0.863,34.6,29.8,False
26,0.863,34.6,29.8,False
27,0.863,34.6,29.8,False
28,0.863,34.6,29.8,False
29,0.863,34.6,29.8,False
30,0.863,34.6,29.8,False
31,0.863,34.6,29.8,False
32,0.863,34.6,29.8,False
33,0.863,34.6,29.8,False
34,0.863,34.6,29.8,False
35,0.863,34.6,29.8,False
36,0.863,34.6,29.8,False
37,0.863,34.6,29.8,False
38,0.863,34.6,29.8,False
39,0.863,34.6,29.8,False
40,0.863,34.6,29.8,False
41,0.863,34.6,29.8,False
42,0.863,34.6,29.8,False
43,0.863,34.6,29.8,False
44,0.863,34.6,29.8,False
45,0.863,34.6,29.8,False
46,0.863,34.6,29.8,False
47,0.863,34.6,29.8,False
48,0.863,34.6,29.8,False
49,0.863,34.6,29.8,False
50,0.863,34.6,29.8,False
51,0.863,34.6,29.8,False
52,0.863,34.6,29.8,False
53,0.863,34.6,29.8,False
54,0.863,34.6,29.8,False
55,0.863,34.6,29.8,False
56,0.863,34.6,29.8,False
