Panel Number,Current,Voltage,Power,Shaded
1,1.22,39.0,47.7,False
2,1.22,39.0,47.7,False
3,1.22,39.0,47.7,False
4,1.22,39.0,47.7,False
5,1.22,39.0,47.7,False
6,1.22,39.0,47.7,False
7,1.22,39.0,47.7,False
8,1.22,39.0,47.7,False
9,1.22,39.0,47.7,False
10,1.22,39.0,47.7,False
11,1.22,39.0,47.7,False
12,1.22,39.0,47.7,False
13,1.22,39.0,47.7,False
14,1.22,39.0,47.7,False
15,1.22,39.0,47.7,False
16,1.22,39.0,47.7,False
17,1.22,39.0,47.7,False
18,1.22,39.0,47.7,False
19,1.22,39.0,47.7,False
20,1.22,39.0,47.7,False
21,1.22,39.0,47.7,False
22,1.22,39.0,47.7,False
23,1.22,39.0,47.7,False
24,1.22,39.0,47.7,False
25,1.22,39.0,47.7,False
26,1.22,39.0,47.7,False
27,1.22,39.0,47.7,False
28,1.22,39.0,47.7,False
29,1.22,39.0,47.7,False
30,1.22,39.0,47.7,False
31,1.22,39.0,47.7,False
32,1.22,39.0,47.7,False
33,1.22,39.0,47.7,False
34,1.22,39.0,47.7,False
35,1.22,39.0,47.7,False
36,1.22,39.0,47.7,False
37,1.22,39.0,47.7,False
38,1.22,39.0,47.7,False
39,1.22,39.0,47.7,False
40,1.22,39.0,47.7,False
41,1.22,39.0,47.7,False
42,1.22,39.0,47.7,False
43,1.22,39.0,47.7,False
44,1.22,39.0,47.7,False
45,1.22,39.0,47.7,False
46,1.22,39.0,47.7,False
47,1.22,39.0,47.7,False
48,1.22,39.0,47.7,False
49,1.22,39.0,47.7,False
50,1.22,39.0,47.7,False
51,1.22,39.0,47.7,False
52,1.22,39.0,47.7,False
53,1.22,39.0,47.7,False
54,1.22,39.0,47.7,False
55,1.22,39.0,47.7,False
56,1.22,39.0,47.7,False
