Panel Number,Current,Voltage,Power,Shaded
1,0.139,35.8,4.97,False
2,0.139,35.8,4.97,False
3,0.139,35.8,4.97,False
4,0.139,35.8,4.97,False
5,0.139,35.8,4.97,False
6,0.139,35.8,4.97,False
7,0.139,35.8,4.97,False
8,0.139,35.8,4.97,False
9,0.139,35.8,4.97,False
10,0.139,35.8,4.97,False
11,0.139,35.8,4.97,False
12,0.139,35.8,4.97,False
13,0.139,35.8,4.97,False
14,0.139,35.8,4.97,False
15,0.139,35.8,4.97,False
16,0.139,35.8,4.97,False
17,0.139,35.8,4.97,False
18,0.139,35.8,4.97,False
19,0.139,35.8,4.97,False
20,0.139,35.8,4.97,False
21,0.139,35.8,4.97,False
22,0.139,35.8,4.97,False
23,0.139,35.8,4.97,False
24,0.139,35.8,4.97,False
25,0.139,35.8,4.97,False
26,0.139,35.8,4.97,False
27,0.139,35.8,4.97,False
28,0.139,35.8,4.97,False
29,0.139,35.8,4.97,False
30,0.139,35.8,4.97,False
31,0.139,35.8,4.97,False
32,0.139,35.8,4.97,False
33,0.139,35.8,4.97,False
34,0.139,35.8,4.97,False
35,0.139,35.8,4.97,False
36,0.139,35.8,4.97,False
37,0.139,35.8,4.97,False
38,0.139,35.8,4.97,False
39,0.139,35.8,4.97,False
40,0.139,35.8,4.97,False
41,0.139,35.8,4.97,False
42,0.139,35.8,4.97,False
43,0.139,35.8,4.97,False
44,0.139,35.8,4.97,False
45,0.139,35.8,4.97,False
46,0.139,35.8,4.97,False
47,0.139,35.8,4.97,False
48,0.139,35.8,4.97,False
49,0.139,35.8,4.97,False
50,0.139,35.8,4.97,False
51,0.139,35.8,4.97,False
52,0.139,35.8,4.97,False
53,0.139,35.8,4.97,False
54,0.139,35.8,4.97,False
55,0.139,35.8,4.97,False
56,0.139,35.8,4.97,False
