Panel Number,Current,Voltage,Power,Shaded
1,0.325,34.0,11.0,False
2,0.325,34.0,11.0,False
3,0.325,34.0,11.0,False
4,0.325,34.0,11.0,False
5,0.325,34.0,11.0,False
6,0.325,34.0,11.0,False
7,0.325,34.0,11.0,False
8,0.325,34.0,11.0,False
9,0.325,34.0,11.0,False
10,0.325,34.0,11.0,False
11,0.325,34.0,11.0,False
12,0.325,34.0,11.0,False
13,0.325,34.0,11.0,False
14,0.325,34.0,11.0,False
15,0.325,34.0,11.0,False
16,0.325,34.0,11.0,False
17,0.325,34.0,11.0,False
18,0.325,34.0,11.0,False
19,0.325,34.0,11.0,False
20,0.325,34.0,11.0,False
21,0.325,34.0,11.0,False
22,0.325,34.0,11.0,False
23,0.325,34.0,11.0,False
24,0.325,34.0,11.0,False
25,0.325,34.0,11.0,False
26,0.325,34.0,11.0,False
27,0.325,34.0,11.0,False
28,0.325,34.0,11.0,False
29,0.325,34.0,11.0,False
30,0.325,34.0,11.0,False
31,0.325,34.0,11.0,False
32,0.325,34.0,11.0,False
33,0.325,34.0,11.0,False
34,0.325,34.0,11.0,False
35,0.325,34.0,11.0,False
36,0.325,34.0,11.0,False
37,0.325,34.0,11.0,False
38,0.325,34.0,11.0,False
39,0.325,34.0,11.0,False
40,0.325,34.0,11.0,False
41,0.325,34.0,11.0,False
42,0.325,34.0,11.0,False
43,0.325,34.0,11.0,False
44,0.325,34.0,11.0,False
45,0.325,34.0,11.0,False
46,0.325,34.0,11.0,False
47,0.325,34.0,11.0,False
48,0.325,34.0,11.0,False
49,0.325,34.0,11.0,False
50,0.325,34.0,11.0,False
51,0.325,34.0,11.0,False
52,0.325,34.0,11.0,False
53,0.325,13.6,4.41,True
54,0.325,13.2,4.29,True
55,0.325,13.2,4.29,True
56,0.325,34.0,11.0,False
57,0.325,34.0,11.0,False
