Panel Number,Current,Voltage,Power,Shaded
1,1.57,35.3,55.2,False
2,1.57,35.3,55.2,False
3,1.57,35.3,55.2,False
4,1.57,35.3,55.2,False
5,1.57,35.3,55.2,False
6,1.57,35.3,55.2,False
7,1.57,35.3,55.2,False
8,1.57,35.3,55.2,False
9,1.57,35.3,55.2,False
10,1.57,35.3,55.2,False
11,1.57,35.3,55.2,False
12,1.57,35.3,55.2,False
13,1.57,35.3,55.2,False
14,1.57,35.3,55.2,False
15,1.57,35.3,55.2,False
16,1.57,35.3,55.2,False
17,1.57,35.3,55.2,False
18,1.57,35.3,55.2,False
19,1.57,35.3,55.2,False
20,1.57,35.3,55.2,False
21,1.57,35.3,55.2,False
22,1.57,35.3,55.2,False
23,1.57,35.3,55.2,False
24,1.57,35.3,55.2,False
25,1.57,35.3,55.2,False
26,1.57,35.3,55.2,False
27,1.57,35.3,55.2,False
28,1.57,35.3,55.2,False
29,1.57,35.3,55.2,False
30,1.57,35.3,55.2,False
31,1.57,35.3,55.2,False
32,1.57,35.3,55.2,False
33,1.57,35.3,55.2,False
34,1.57,35.3,55.2,False
35,1.57,35.3,55.2,False
36,1.57,35.3,55.2,False
37,1.57,35.3,55.2,False
38,1.57,35.3,55.2,False
39,1.57,35.3,55.2,False
40,1.57,35.3,55.2,False
41,1.57,35.3,55.2,False
42,1.57,35.3,55.2,False
43,1.57,35.3,55.2,False
44,1.57,35.3,55.2,False
45,1.57,35.3,55.2,False
46,1.57,35.3,55.2,False
47,1.57,35.3,55.2,False
48,1.57,35.3,55.2,False
49,1.57,35.3,55.2,False
50,1.57,35.3,55.2,False
51,1.57,35.3,55.2,False
52,1.57,35.3,55.2,False
53,1.57,35.3,55.2,False
54,1.57,35.3,55.2,False
55,1.57,35.3,55.2,False
56,1.57,35.3,55.2,False
