Panel Number,Current,Voltage,Power,Shaded
1,0.00789,30.6,0.241,False
2,0.00789,30.6,0.241,False
3,0.00789,30.6,0.241,False
4,0.00789,30.6,0.241,False
5,0.00789,30.6,0.241,False
6,0.00789,30.6,0.241,False
7,0.00789,30.6,0.241,False
8,0.00789,30.6,0.241,False
9,0.00789,30.6,0.241,False
10,0.00789,30.6,0.241,False
11,0.00789,30.6,0.241,False
12,0.00789,30.6,0.241,False
13,0.00789,30.6,0.241,False
14,0.00789,30.6,0.241,False
15,0.00789,30.6,0.241,False
16,0.00789,30.6,0.241,False
17,0.00789,30.6,0.241,False
18,0.00789,30.6,0.241,False
19,0.00789,30.6,0.241,False
20,0.00789,30.6,0.241,False
21,0.00789,30.6,0.241,False
22,0.00789,30.6,0.241,False
23,0.00789,30.6,0.241,False
24,0.00789,30.6,0.241,False
25,0.00789,30.6,0.241,False
26,0.00789,30.6,0.241,False
27,0.00789,30.6,0.241,False
28,0.00789,30.6,0.241,False
29,0.00789,30.6,0.241,False
30,0.00789,30.6,0.241,False
31,0.00789,30.6,0.241,False
32,0.00789,30.6,0.241,False
33,0.00789,30.6,0.241,False
34,0.00789,30.6,0.241,False
35,0.00789,30.6,0.241,False
36,0.00789,30.6,0.241,False
37,0.00789,30.6,0.241,False
38,0.00789,30.6,0.241,False
39,0.00789,30.6,0.241,False
40,0.00789,30.6,0.241,False
41,0.00789,30.6,0.241,False
42,0.00789,30.6,0.241,False
43,0.00789,30.6,0.241,False
44,0.00789,30.6,0.241,False
45,0.00789,30.6,0.241,False
46,0.00789,30.6,0.241,False
47,0.00789,30.6,0.241,False
48,0.00789,30.6,0.241,False
49,0.00789,30.6,0.241,False
50,0.00789,30.6,0.241,False
51,0.00789,30.6,0.241,False
52,0.00789,30.6,0.241,False
53,0.00789,30.6,0.241,False
54,0.00789,30.6,0.241,False
55,0.00789,30.6,0.241,False
56,0.00789,30.6,0.241,False
