Panel Number,Current,Voltage,Power,Shaded
1,5.65,37.9,214.0,False
2,5.65,37.9,214.0,False
3,5.65,37.9,214.0,False
4,5.65,37.9,214.0,False
5,5.65,37.9,214.0,False
6,5.65,37.9,214.0,False
7,5.65,37.9,214.0,False
8,5.65,37.9,214.0,False
9,5.65,37.9,214.0,False
10,5.65,37.9,214.0,False
11,5.65,37.9,214.0,False
12,5.65,37.9,214.0,False
13,5.65,37.9,214.0,False
14,5.65,37.9,214.0,False
15,5.65,37.9,214.0,False
16,5.65,37.9,214.0,False
17,5.65,37.9,214.0,False
18,5.65,37.9,214.0,False
19,5.65,37.9,214.0,False
20,5.65,37.9,214.0,False
21,5.65,37.9,214.0,False
22,5.65,37.9,214.0,False
23,5.65,37.9,214.0,False
24,5.65,37.9,214.0,False
25,5.65,37.9,214.0,False
26,5.65,37.9,214.0,False
27,5.65,37.9,214.0,False
28,5.65,37.9,214.0,False
29,5.65,37.9,214.0,False
30,5.65,37.9,214.0,False
31,5.65,37.9,214.0,False
32,5.65,37.9,214.0,False
33,5.65,37.9,214.0,False
34,5.65,37.9,214.0,False
35,5.65,37.9,214.0,False
36,5.65,37.9,214.0,False
37,5.65,37.9,214.0,False
38,5.65,37.9,214.0,False
39,5.65,37.9,214.0,False
40,5.65,37.9,214.0,False
41,5.65,37.9,214.0,False
42,5.65,37.9,214.0,False
43,5.65,37.9,214.0,False
44,5.65,37.9,214.0,False
45,5.65,37.9,214.0,False
46,5.65,37.9,214.0,False
47,5.65,37.9,214.0,False
48,5.65,37.9,214.0,False
49,5.65,37.9,214.0,False
50,5.65,37.9,214.0,False
51,5.65,37.9,214.0,False
52,5.65,37.9,214.0,False
53,5.65,37.9,214.0,False
54,5.65,37.9,214.0,False
55,5.65,37.9,214.0,False
56,5.65,37.9,214.0,False
